Key,Category,Tier,Title,Stat,Goal,CreshCoins,BattlePassXP,Description
EXPLORATION_STEPS_1000,EXPLORATION,1,First Thousand,STEPS,1000,8,7,"Travel 1,000 estimated steps on foot or mount."
EXPLORATION_STEPS_2000,EXPLORATION,2,Road Tested,STEPS,2000,12,10,"Travel 2,000 estimated steps on foot or mount."
EXPLORATION_STEPS_5000,EXPLORATION,3,Trail Seeker,STEPS,5000,16,13,"Travel 5,000 estimated steps on foot or mount."
EXPLORATION_STEPS_10000,EXPLORATION,4,Ten Thousand Steps,STEPS,10000,20,16,"Travel 10,000 estimated steps on foot or mount."
EXPLORATION_STEPS_25000,EXPLORATION,5,Azeroth Rambler,STEPS,25000,24,19,"Travel 25,000 estimated steps on foot or mount."
EXPLORATION_STEPS_50000,EXPLORATION,6,Long-Haul Adventurer,STEPS,50000,36,28,"Travel 50,000 estimated steps on foot or mount."
EXPLORATION_STEPS_100000,EXPLORATION,7,World Walker,STEPS,100000,48,37,"Travel 100,000 estimated steps on foot or mount."
EXPLORATION_STEPS_250000,EXPLORATION,8,Continental Trekker,STEPS,250000,60,46,"Travel 250,000 estimated steps on foot or mount."
EXPLORATION_STEPS_500000,EXPLORATION,9,Half-Million Hero,STEPS,500000,72,55,"Travel 500,000 estimated steps on foot or mount."
EXPLORATION_STEPS_1000000,EXPLORATION,10,One Million Steps,STEPS,1000000,84,64,"Travel 1,000,000 estimated steps on foot or mount."
EXPLORATION_ZONES_1,EXPLORATION,1,New Horizon,ZONES,1,8,7,Discover 1 different zones.
EXPLORATION_ZONES_5,EXPLORATION,2,Local Explorer,ZONES,5,12,10,Discover 5 different zones.
EXPLORATION_ZONES_10,EXPLORATION,3,Border Crosser,ZONES,10,16,13,Discover 10 different zones.
EXPLORATION_ZONES_25,EXPLORATION,4,Map Maker,ZONES,25,20,16,Discover 25 different zones.
EXPLORATION_ZONES_50,EXPLORATION,5,World Traveller,ZONES,50,24,19,Discover 50 different zones.
EXPLORATION_ZONES_75,EXPLORATION,6,Azeroth Cartographer,ZONES,75,36,28,Discover 75 different zones.
EXPLORATION_ZONES_100,EXPLORATION,7,Every Road Leads Somewhere,ZONES,100,48,37,Discover 100 different zones.
EXPLORATION_FLIGHTS_1,EXPLORATION,1,First Flight,FLIGHTS,1,8,7,Complete 1 flight-path journeys.
EXPLORATION_FLIGHTS_5,EXPLORATION,2,Frequent Flier,FLIGHTS,5,12,10,Complete 5 flight-path journeys.
EXPLORATION_FLIGHTS_10,EXPLORATION,3,Wind Rider,FLIGHTS,10,16,13,Complete 10 flight-path journeys.
EXPLORATION_FLIGHTS_25,EXPLORATION,4,Flight Master Regular,FLIGHTS,25,20,16,Complete 25 flight-path journeys.
EXPLORATION_FLIGHTS_50,EXPLORATION,5,Aerial Commuter,FLIGHTS,50,24,19,Complete 50 flight-path journeys.
EXPLORATION_FLIGHTS_100,EXPLORATION,6,Sky Route Veteran,FLIGHTS,100,36,28,Complete 100 flight-path journeys.
EXPLORATION_FLIGHTS_250,EXPLORATION,7,Master of the Airways,FLIGHTS,250,48,37,Complete 250 flight-path journeys.
COMBAT_KILLS_10,COMBAT,1,First Hunt,KILLS,10,8,7,Defeat 10 creatures.
COMBAT_KILLS_25,COMBAT,2,Threat Cleaner,KILLS,25,12,10,Defeat 25 creatures.
COMBAT_KILLS_50,COMBAT,3,Field Fighter,KILLS,50,16,13,Defeat 50 creatures.
COMBAT_KILLS_100,COMBAT,4,Centurion,KILLS,100,20,16,Defeat 100 creatures.
COMBAT_KILLS_250,COMBAT,5,Mob Breaker,KILLS,250,24,19,Defeat 250 creatures.
COMBAT_KILLS_500,COMBAT,6,Battle Hardened,KILLS,500,36,28,Defeat 500 creatures.
COMBAT_KILLS_1000,COMBAT,7,Azeroth Defender,KILLS,1000,48,37,"Defeat 1,000 creatures."
